id,category,title,question,answer,intent,keywords,priority,status,approved,source_type
kb_0001,Conversaciones normales,Saludo,Saludo: Hola,"Hola. Soy el asistente de la Mesa de Ayuda de Calidad. Puedo ayudarte a radicar solicitudes, consultar estados, entender el proceso de calidad y revisar información de tickets según tus permisos.",saludo,hola; saludo; ayuda; mesa,6,active,True,corpus_conversacional_inicial
kb_0002,Conversaciones normales,Saludo,"Buenos días, necesito ayuda","Buenos días. Cuéntame qué necesitas: radicar una solicitud, consultar un ticket, revisar un estado o entender un paso del proceso de calidad.",saludo,buenos días; ayuda; consulta,6,active,True,corpus_conversacional_inicial
kb_0003,Conversaciones normales,Presentacion ia,¿Quién eres?,"Soy el asistente interno de la Mesa de Ayuda de Calidad. Mi función es orientar a los usuarios, consultar información permitida de la app y apoyar el seguimiento del mejoramiento continuo.",presentacion_ia,quién eres; asistente; mesa ayuda,6,active,True,corpus_conversacional_inicial
kb_0004,Conversaciones normales,Alcance ia,¿Qué puedes hacer?,"Puedo responder preguntas sobre la mesa de ayuda, orientar radicaciones, explicar estados, consultar tickets permitidos, sugerir acciones y guardar aprendizajes pendientes para revisión del Super Admin.",alcance_ia,puedes hacer; funciones; capacidad,6,active,True,corpus_conversacional_inicial
kb_0005,Conversaciones normales,Limite ia,¿Puedes tomar decisiones por mí?,"No. Puedo orientar y sugerir, pero no debo tomar decisiones críticas, cambiar roles, cerrar tickets o aprobar aprendizajes sin autorización del usuario responsable o del Super Admin.",limite_ia,decisiones; límites; autorizar,6,active,True,corpus_conversacional_inicial
kb_0006,Conversaciones normales,Agradecimiento,Agradecimiento: Gracias,"Con gusto. Si necesitas, también puedo ayudarte a revisar el siguiente paso del ticket o a redactar una respuesta de seguimiento.",agradecimiento,gracias; seguimiento,6,active,True,corpus_conversacional_inicial
kb_0007,Conversaciones normales,Despedida,"Listo, eso era todo","Perfecto. Dejo la conversación registrada para trazabilidad. Cuando necesites continuar, puedes preguntarme por el ticket, el área o el proceso.",despedida,despedida; trazabilidad,6,active,True,corpus_conversacional_inicial
kb_0008,Conversaciones normales,Aclaracion,No entendí,"Te lo explico más simple: dime si quieres crear una solicitud, consultar un ticket, responder un caso, cerrar una actividad o revisar indicadores.",aclaracion,no entendí; explicar; simple,6,active,True,corpus_conversacional_inicial
kb_0009,Conversaciones normales,Orientacion,"Estoy perdido, no sé qué hacer","Empecemos por identificar el caso. Dime si tienes número de ticket, área involucrada, responsable o una descripción breve del problema.",orientacion,perdido; orientación; caso,6,active,True,corpus_conversacional_inicial
kb_0010,Conversaciones normales,Confianza,¿Lo que me dices es oficial?,"Uso la base de conocimiento oficial y los datos permitidos de la aplicación. Si no encuentro soporte suficiente, te lo indicaré y no inventaré información.",confianza,oficial; soporte; datos,6,active,True,corpus_conversacional_inicial
kb_0011,Conversaciones normales,Orientacion,Qué hago ahora,"Claro. Primero identifiquemos el caso: describe qué ocurre, qué área está involucrada, si existe un ticket y qué resultado esperas. Con eso puedo orientarte sin perder trazabilidad.",orientacion,hago; ahora; claro; primero; identifiquemos; describe; ocurre; está; involucrada; existe,6,active,True,corpus_conversacional_inicial
kb_0012,Conversaciones normales,Aclaracion,Explícame paso a paso,"Lo resumo en pasos: identifica el caso, revisa si ya existe ticket, valida evidencia, asigna responsable y registra el seguimiento en la Mesa de Ayuda.",aclaracion,explícame; paso; resumo; pasos; identifica; revisa; existe; valida; evidencia; asigna,6,active,True,corpus_conversacional_inicial
kb_0013,Conversaciones normales,Clasificar area,No sé si esto es de calidad,"Puedo ayudarte a clasificarlo. Si afecta cumplimiento, procesos, evidencias, trazabilidad, auditoría o mejora continua, probablemente corresponde al proceso de calidad.",clasificar_area,ayudarte; clasificarlo; afecta; cumplimiento; procesos; evidencias; trazabilidad; auditoría; mejora; continua,6,active,True,corpus_conversacional_inicial
kb_0014,Conversaciones normales,Escalamiento humano,Quiero hablar con alguien,"Puedo orientarte, pero si el caso requiere decisión o autorización, debes escalarlo al responsable del área o al jefe general según el flujo definido.",escalamiento_humano,quiero; hablar; alguien; orientarte; pero; requiere; decisión; autorización; debes; escalarlo,6,active,True,corpus_conversacional_inicial
kb_0015,Conversaciones normales,Prioridad,Esto es urgente,"Para marcarlo como urgente deben existir impacto alto, vencimiento próximo, riesgo de incumplimiento o afectación a varios usuarios. Registra la justificación en el ticket.",prioridad,urgente; marcarlo; existir; impacto; alto; vencimiento; próximo; riesgo; incumplimiento; afectación,6,active,True,corpus_conversacional_inicial
kb_0016,Conversaciones normales,Corregir solicitud,Me equivoqué en la solicitud,"Si la solicitud aún no está cerrada, puedes agregar un comentario aclaratorio o pedir ajuste al responsable. No se recomienda borrar trazabilidad.",corregir_solicitud,equivoqué; está; cerrada; puedes; agregar; comentario; aclaratorio; pedir; ajuste; responsable,6,active,True,corpus_conversacional_inicial
kb_0017,Conversaciones normales,Confirmar registro,Quiero saber si quedó registrado,"Para confirmarlo necesito el número de ticket o el dato con el que fue radicado. Si existe, te puedo indicar estado, responsable y última actualización permitida.",confirmar_registro,quiero; saber; quedó; registrado; confirmarlo; necesito; número; dato; radicado; existe,6,active,True,corpus_conversacional_inicial
kb_0018,Conversaciones normales,Sugerir accion,Dame una recomendación,"Mi recomendación es documentar el hecho, adjuntar evidencia, definir responsable y dejar una acción concreta con fecha de seguimiento.",sugerir_accion,dame; recomendación; documentar; hecho; adjuntar; evidencia; definir; responsable; dejar; acción,6,active,True,corpus_conversacional_inicial
kb_0019,Conversaciones normales,Resumir conversacion,Resume lo que hablamos,"Puedo resumir la conversación en tres partes: situación reportada, estado actual y próximo paso sugerido. Si hay ticket asociado, lo usaré como referencia.",resumir_conversacion,resume; hablamos; resumir; conversación; tres; partes; situación; reportada; estado; actual,6,active,True,corpus_conversacional_inicial
kb_0020,Conversaciones del área,Clasificar area,¿Esto lo debe revisar Calidad?,"Si el caso está relacionado con procedimientos, evidencias, auditoría, acciones de mejora y seguimiento del sistema de gestión, puede clasificarse para el área de Calidad. Si el impacto cruza varias áreas, conviene radicarlo con área principal y mencionar las áreas relacionadas.",clasificar_area,calidad; área; clasificar; responsable,6,active,True,corpus_conversacional_inicial
kb_0021,Conversaciones del área,Consultar responsable area,¿Quién responde los casos de Calidad?,"La respuesta depende de los usuarios configurados en la aplicación. Puedo consultar el responsable si existe en la base de datos. Si no hay responsable asignado, el caso debe escalarse al jefe general o al Super Admin para configuración.",consultar_responsable_area,calidad; responsable; asignado; usuarios,6,active,True,corpus_conversacional_inicial
kb_0022,Conversaciones del área,Crear ticket area,Necesito radicar una solicitud para Calidad,"Para radicarla en Calidad, registra una descripción clara, selecciona el área correspondiente, define prioridad, adjunta evidencia si aplica y confirma el solicitante. Si el caso afecta calidad, incluye el impacto o riesgo observado.",crear_ticket_area,calidad; radicar; solicitud; prioridad,6,active,True,corpus_conversacional_inicial
kb_0023,Conversaciones del área,Resumen area,Dame un resumen de lo pendiente de Calidad,"Puedo generar el resumen consultando los tickets abiertos, vencidos, en espera y cerrados del área de Calidad. Para hacerlo correctamente necesito acceso a los datos o filtros de fecha definidos.",resumen_area,calidad; resumen; pendiente; tickets,6,active,True,corpus_conversacional_inicial
kb_0024,Conversaciones del área,Clasificar area,¿Esto lo debe revisar Talento Humano?,"Si el caso está relacionado con inducción, capacitación, novedades de personal, soportes y solicitudes administrativas, puede clasificarse para el área de Talento Humano. Si el impacto cruza varias áreas, conviene radicarlo con área principal y mencionar las áreas relacionadas.",clasificar_area,talento humano; área; clasificar; responsable,6,active,True,corpus_conversacional_inicial
kb_0025,Conversaciones del área,Crear ticket area,Necesito radicar una solicitud para Talento Humano,"Para radicarla en Talento Humano, registra una descripción clara, selecciona el área correspondiente, define prioridad, adjunta evidencia si aplica y confirma el solicitante. Si el caso afecta calidad, incluye el impacto o riesgo observado.",crear_ticket_area,talento humano; radicar; solicitud; prioridad,6,active,True,corpus_conversacional_inicial
kb_0026,Conversaciones del área,Clasificar area,¿Esto lo debe revisar Sistemas?,"Si el caso está relacionado con soporte tecnológico, accesos, usuarios, plataformas, equipos y fallas de conectividad, puede clasificarse para el área de Sistemas. Si el impacto cruza varias áreas, conviene radicarlo con área principal y mencionar las áreas relacionadas.",clasificar_area,sistemas; área; clasificar; responsable,6,active,True,corpus_conversacional_inicial
kb_0027,Conversaciones del área,Crear ticket area,Necesito radicar una solicitud para Sistemas,"Para radicarla en Sistemas, registra una descripción clara, selecciona el área correspondiente, define prioridad, adjunta evidencia si aplica y confirma el solicitante. Si el caso afecta calidad, incluye el impacto o riesgo observado.",crear_ticket_area,sistemas; radicar; solicitud; prioridad,6,active,True,corpus_conversacional_inicial
